lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A_est.1.1,A_est.2.1,A_est.1.2,A_est.2.2,filtered_state.1.1,filtered_state.2.1,filtered_state.3.1,filtered_state.4.1,filtered_state.5.1,filtered_state.6.1,filtered_state.7.1,filtered_state.8.1,filtered_state.9.1,filtered_state.10.1,filtered_state.1.2,filtered_state.2.2,filtered_state.3.2,filtered_state.4.2,filtered_state.5.2,filtered_state.6.2,filtered_state.7.2,filtered_state.8.2,filtered_state.9.2,filtered_state.10.2,log_marginal
# Adaptation terminated
# Step size = 0.887452
# Diagonal elements of inverse mass matrix:
# 0.108906, 0.12301
-28.986767,0.74874288,0.88745175,2,3,0,29.674438,0.92257658,0.11145513,0.077423418,0.88854487,0.080151097,0.041519877,0.038802311,0.038615194,0.79228737,0.12305404,0.044669847,0.79412326,0.93041818,0.15157616,0.9198489,0.95848012,0.96119769,0.96138481,0.20771263,0.87694596,0.95533015,0.20587674,0.069581816,0.84842384,-7.1297315
-27.179387,1,0.88745175,2,3,0,29.239843,0.78533322,0.072515921,0.21466678,0.92748408,0.18794959,0.12201912,0.11030072,0.1082855,0.84989048,0.2914784,0.14183028,0.85726115,0.95121396,0.33017704,0.81205041,0.87798088,0.88969928,0.8917145,0.15010952,0.7085216,0.85816972,0.14273885,0.048786044,0.66982296,-6.6743031
-27.178785,0.97935088,0.88745175,2,3,0,27.627116,0.84848405,0.10069165,0.15151595,0.89930835,0.14418771,0.085770669,0.078009936,0.077010238,0.80640814,0.21746635,0.096134522,0.81171556,0.93344637,0.25780103,0.85581229,0.91422933,0.92199006,0.92298976,0.19359186,0.78253365,0.90386548,0.18828444,0.066553627,0.74219897,-6.8797972
-33.547697,0.78758163,0.88745175,2,3,0,33.717749,0.3914596,0.097717657,0.6085404,0.90228234,0.40278742,0.3659296,0.35224054,0.34719547,0.75806205,0.50626366,0.40520053,0.77483717,0.86233712,0.55057243,0.59721258,0.6340704,0.64775946,0.65280453,0.24193795,0.49373634,0.59479947,0.22516283,0.13766288,0.44942757,-6.2284018
-31.02791,1,0.88745175,2,3,0,33.199264,0.94939715,0.21389799,0.050602854,0.78610201,0.060478738,0.029954774,0.028361575,0.028279828,0.66737468,0.07772538,0.03087828,0.668449,0.85339691,0.10323257,0.93952126,0.97004523,0.97163843,0.97172017,0.33262532,0.92227462,0.96912172,0.331551,0.14660309,0.89676743,-7.4969445
-26.641064,0.88873739,0.88745175,2,3,0,32.075986,0.76212616,0.10836798,0.23787384,0.89163202,0.21059992,0.14271716,0.12905461,0.1263934,0.79149974,0.30023652,0.16196249,0.8015363,0.92002868,0.34930214,0.78940008,0.85728284,0.87094539,0.8736066,0.20850026,0.69976348,0.83803751,0.1984637,0.079971319,0.65069786,-6.6452715
-27.676874,0.74782116,0.88745175,1,3,0,29.325669,0.87354906,0.18772867,0.12645094,0.81227133,0.13470538,0.078565576,0.07164296,0.070814493,0.69461821,0.17565931,0.083856529,0.69959311,0.8652587,0.22131408,0.86529462,0.92143442,0.92835704,0.92918551,0.30538179,0.82434069,0.91614347,0.30040689,0.1347413,0.77868592,-7.1407859
-27.26878,0.71503898,0.88745175,2,5,0,30.285756,0.81369789,0.07372001,0.18630211,0.92627999,0.16745021,0.10442459,0.094556775,0.093061078,0.84885223,0.26299979,0.12050552,0.85499952,0.95190877,0.3001625,0.83254979,0.89557541,0.90544323,0.90693892,0.15114777,0.73700021,0.87949448,0.14500048,0.04809123,0.6998375,-6.7513934
-28.361279,0.95698305,0.88745175,2,3,0,28.514272,0.77044635,0.041012502,0.22955365,0.9589875,0.193139,0.12664497,0.11446839,0.112311,0.9081846,0.32042414,0.15199175,0.91381919,0.97394434,0.34714889,0.806861,0.87335503,0.88553161,0.887689,0.091815396,0.67957586,0.84800825,0.086180813,0.02605566,0.65285111,-6.6255403
-28.810204,0.96515226,0.88745175,2,3,0,29.134948,0.8354206,0.038676787,0.1645794,0.96132321,0.14617552,0.08731029,0.079371683,0.078333779,0.91455274,0.25434469,0.10310909,0.91795938,0.97742703,0.276827,0.85382448,0.91268971,0.92062832,0.92166622,0.085447263,0.74565531,0.89689091,0.08204062,0.022572965,0.723173,-6.7943332
-28.293337,1,0.88745175,1,1,0,28.786871,0.82228973,0.045735576,0.17771027,0.95426442,0.15699138,0.095865404,0.08694985,0.085690217,0.90027722,0.26561259,0.1130161,0.90456761,0.9723654,0.2920209,0.84300862,0.9041346,0.91305015,0.91430978,0.099722783,0.73438741,0.8869839,0.095432394,0.027634598,0.7079791,-6.7600501
-28.014034,0.969257,0.88745175,2,3,0,29.101685,0.87780014,0.077431653,0.12219986,0.92256835,0.11696361,0.065699738,0.060281068,0.05972398,0.84449614,0.18912863,0.073812363,0.84783091,0.95255712,0.22045322,0.88303639,0.93430026,0.93971893,0.94027602,0.15550386,0.81087137,0.92618764,0.15216909,0.047442879,0.77954678,-6.9410041
-27.518638,0.99361684,0.88745175,3,7,0,28.419116,0.87708596,0.14748258,0.12291404,0.85251742,0.12600992,0.072160067,0.065986803,0.065299287,0.7421373,0.17590658,0.078177568,0.74657969,0.89868178,0.2182723,0.87399008,0.92783993,0.9340132,0.93470071,0.2578627,0.82409342,0.92182243,0.25342031,0.10131822,0.7817277,-7.0517772
